"Date","Core goods index","Core goods trend","Durable goods index","Durable goods trend"
"2023-01",100.693736917178,101.985846863578,103.849235112349,101.639737689728
"2023-02",100.881759072301,101.896914496718,103.881661770877,101.550627214393
"2023-03",101.090158012708,101.816655145389,103.75863121352,101.470207486061
"2023-04",101.164255413741,101.727870314883,103.796780223553,101.381245642721
"2023-05",101.470833410518,101.642023226952,103.950329988937,101.295227798974
"2023-06",101.292073430524,101.553390676691,103.561210086598,101.206419365348
"2023-07",100.842857936758,101.467690830306,102.872620455499,101.120549854553
"2023-08",100.77061297075,101.379210299106,102.497806431923,101.031894566095
"2023-09",100.673360131893,101.290806923545,102.374775874566,100.943317004273
"2023-10",100.833595761629,101.205328668848,102.245069240453,100.857670725079
"2023-11",100.462182538947,101.117076919275,101.723381528249,100.769245910299
"2023-12",100.203767852843,101.031745273516,101.281806737115,100.683747323314
"2024-01",100.166719152326,100.94364488987,101.477320413535,100.595474992173
"2024-02",100.481633106719,100.85562133037,101.730057605005,100.507280051917
"2024-03",100.585369468166,100.773346200285,101.819707778583,100.424845110211
"2024-04",100.640942518941,100.685471142426,101.599397245641,100.33679976607
"2024-05",100.43439601356,100.600503724276,100.716247663373,100.251668091966
"2024-06",100.486264194283,100.512779386256,100.663792774577,100.163774577088
"2024-07",100.425133838431,100.427957700877,100.440621065883,100.078789707786
"2024-08",100.295463386622,100.340383824188,100.297562278259,99.9910477603493
"2024-09",100.337143174703,100.252886312528,100.508335558692,99.9033827387965
"2024-10",100.397347313043,100.168283948201,100.548392019227,99.8186188013274
"2024-11",100.27601281885,100.080936508829,100.488307328425,99.7311049531922
"2024-12",100,100,100,100
"2025-01",100.399199748069,99.8945465432201,100.308053256018,99.7193810702378
"2025-02",100.813218976344,99.8193083672988,100.715293938122,99.4667956612234
"2025-03",100.548320767649,99.7317176127303,100.665700225079,99.3735711963936
"2025-04",100.83730063168,99.6310736550519,101.157822454507,99.285434218805
"2025-05",101.086453142656,99.5309714809973,101.178804410026,99.2153461697891
"2025-06",101.484726673212,99.5111917549963,101.657574485942,99.1840462933051
"2025-07",101.483800455699,99.4624875450576,101.533590203334,99.0832382237696
"2025-08",101.36987570161,99.3057211965983,101.451569831763,98.8791048640335
"2025-09",101.548635681603,99.2603230866551,101.386716514706,98.7903033054856
"2025-10",101.545857029065,99.1384201485865,101.46015335902,98.6870196811311
"2025-11",101.52548024378,99.0624003371718,101.495441193301,98.6286875102559
"2025-12",101.966359779931,98.9902886615394,102.051463014535,98.5564041562984
"2026-01",102.271085341682,98.8925770983237,102.472055850151,98.4233148423425

# Figure 4. PCE Core Goods & Durables Prices
# Index (Dec 2024 = 100) versus local projection with 90% CIs
# Source: Bureau of Economic Analysis via Haver Analytics and The Budget Lab analysis 
